,Field_ID,Elevation,Latitude,Longitude,Location,Slope,Rainfall,Min_temperature_C,Max_temperature_C,Ave_temps,Soil_Fertility,Soil_Type,pH,Pollution_Level,Plot_Size,Chosen_Crop,Annual_Yield,Standard_Yield
9036,9036,255.68433,-11.70185951,-6.164276596,Rural_Hawassa,22.052572,1667.3,-7.5,33.1,12.8,0.69,Silt,6.471624731,0.00697460634,1.8,rice,1.006348586,0.5590825477
23951,23951,562.1472,-7.953122734,-2.22273892,Rural_Sokoto,24.619905,1200.3,-5.3,31.8,13.25,0.66,Loamy,4.649273585,0.2624765732,1.4,tea,0.9484067741,0.6774334101
25239,25239,779.9252,-10.22849782,0.3764236386,Rural_Sokoto,3.3992305,2219.5,-2.2,30.6,14.2,0.67,Volcanic,4.416862392,0.3353835992,8.3,tea,5.440520356,0.6554843802
43917,43917,805.97516,-4.335051067,-0.8848684176,Rural_Kilimani,4.799029,1284.1,-2.8,29.2,13.2,0.6,Volcanic,5.82974689,0.800534509,2.3,coffee,0.7406976541,0.3220424583
9806,9806,673.3514,-9.818479733,-1.542542133,Rural_Sokoto,8.904864,1927.1,-3.4,30.3,13.45,0.67,Volcanic,4.857110977,0.1418049758,3.2,tea,2.757766697,0.8618020928
44636,44636,493.53882,-0.3159727023,-3.105643359,Rural_Kilimani,8.672898,690.4,-6.2,34.1,13.95,0.57,Loamy,6.766205918,0.004871613851,2.2,wheat,1.587245731,0.7214753323
19341,19341,538.19745,-7.326831375,-1.254246805,Rural_Sokoto,12.456426,1187.9,-5.3,32,13.35,0.62,Loamy,6.045768938,0.6066086271,1.8,wheat,0.9283743438,0.5157635244
41964,41964,544.6548,-1.199088576,-3.925483196,Rural_Kilimani,9.845885,532.3,-5.9,33.4,13.75,0.56,Loamy,4.99822875,0.02657087494,4.1,maize,2.237931431,0.5458369344
45022,45022,965.42365,-4.434176318,-3.632683254,Rural_Kilimani,7.6869597,903.7,-1.7,27.1,12.7,0.58,Rocky,6.116802548,0.2085764476,2.7,wheat,1.665314111,0.6167830039
18614,18614,809.51984,-4.064709473,-1.033520696,Rural_Kilimani,14.039279,1275.4,-2.8,31,14.1,0.63,Volcanic,4.096503704,0.7403902195,0.8,tea,0.3138649713,0.3923312142
24239,24239,379.92014,-9.99420177,-3.934492425,Rural_Hawassa,5.2726903,1492.5,-6.5,33,13.25,0.62,Silt,5.915457225,0.06506520547,2.9,wheat,1.433816617,0.4944195233
35122,35122,603.43915,-5.866986767,-1.303797565,Rural_Sokoto,45.649673,1021.6,-4.9,33.9,14.5,0.71,Loamy,4.577532667,0.9022021408,1.4,tea,0.6079476046,0.434248289
5186,5186,813.8458,-4.898262722,-5.55615364,Rural_Kilimani,29.738115,562.4,-3.4,30.3,13.45,0.63,Sandy,6.06054402,0.3044480471,0.7,maize,0.3751313038,0.5359018625
23796,23796,723.12756,-9.66078047,-0.5560315601,Rural_Sokoto,4.783915,2010.9,-2.9,30.5,13.8,0.66,Volcanic,5.792302605,0.2413431408,4.5,banana,3.014890499,0.6699756665
6935,6935,410.50626,-10.94039735,-8.934614505,Rural_Akatsi,4.675606,1846.7,-5.9,30.2,12.15,0.65,Silt,5.926181828,0.07641381935,4.3,banana,2.277240514,0.5295908173
4,4,792.6537,-3.163570826,-2.83536649,Rural_Kilimani,28.081358,928.5,-3.3,31.2,13.95,0.65,Sandy,5.102047963,0.3873496943,1.1,potato,0.59755743,0.5432340272
29767,29767,396.00775,-0.4781776588,-4.425495404,Rural_Kilimani,6.379792,279,-7.5,32.4,12.45,0.53,Loamy,5.319849779,0.004182256681,2.9,wheat,1.649996306,0.5689642434
23109,23109,909.26044,-1.433384624,-1.862369761,Rural_Kilimani,9.121588,1405.4,-1.8,31,14.6,0.63,Volcanic,5.366401241,0.06312867596,2.7,coffee,1.208650225,0.4476482315
7680,7680,383.46628,-11.08007384,-8.62830072,Rural_Akatsi,6.539067,1822.5,-6.1,31,12.45,0.65,Silt,6.569699633,0.1649404955,4.6,wheat,2.299178233,0.499821355
37139,37139,717.6414,-2.645416104,-3.200240264,Rural_Kilimani,10.938603,799.1,-4.1,33.4,14.65,0.59,Sandy,5.499808144,0.300350271,2,wheat,0.9120396288,0.4560198144
5396,5396,709.2452,-10.49883941,-0.5199946442,Rural_Sokoto,1.2624784,2156.5,-2.9,30.9,14,0.66,Volcanic,5.578641561,0.3398972967,8.8,coffee,5.562571376,0.6321103836
12123,12123,603.7494,-8.89481262,-3.380424843,Rural_Hawassa,4.3008165,1419.2,-4.5,28.6,12.05,0.61,Peaty,4.411738199,0.01180105229,3.4,cassava,1.211892505,0.3564389721
20386,20386,459.53207,-14.70715689,-7.020153348,Rural_Hawassa,2.867474,1277.1,-6,33.2,13.6,0.6,Peaty,4.040777401,3.32E-10,10.7,cassava,3.837754156,0.3586686127
35862,35862,834.7159,-5.182121395,-3.587637109,Rural_Kilimani,18.581152,785,-3,29.2,13.1,0.61,Sandy,6.156581999,0.1965308183,0.7,maize,0.391457368,0.5592248115
30839,30839,674.2084,-7.817951937,-7.240879458,Rural_Akatsi,11.709434,1105.9,-4.2,28.6,12.2,0.61,Sandy,5.218901008,0.08942367395,3.2,wheat,1.348132915,0.4212915359
6921,6921,747.4178,-8.570402708,-1.150640672,Rural_Sokoto,1.3789419,1724.8,-2.9,28.9,13,0.63,Volcanic,5.850088552,0.1154911312,8.8,coffee,5.141145505,0.5842210801
2182,2182,344.45914,-11.33239266,-6.475094995,Rural_Hawassa,21.846682,1731.1,-6.6,32,12.7,0.69,Silt,5.266289934,0.02786805022,1.4,banana,0.5861304847,0.4186646319
41249,41249,545.2032,-0.406086567,-3.002037226,Rural_Kilimani,10.295476,772.7,-5.6,29.1,11.75,0.58,Loamy,6.724823437,0.006578449095,3.3,maize,2.190931481,0.6639186305
26350,26350,585.1891,-5.452462989,0.7232789541,Rural_Kilimani,21.96423,1209,-4.9,33.6,14.35,0.65,Silt,6.68380561,0.685779918,0.8,wheat,0.3576810333,0.4471012916
2004,2004,680.9612,-3.00136587,-6.727353407,Rural_Kilimani,31.381239,445.3,-4.7,33.6,14.45,0.62,Sandy,4.546514889,0.2058262698,1.4,potato,0.711934614,0.5085247243
25561,25561,507.23108,-7.133086566,-1.240732962,Rural_Sokoto,10.975426,1116.9,-5.7,32.8,13.55,0.61,Loamy,5.534211139,0.6790506213,4.6,banana,1.766357501,0.3839907611
8474,8474,568.6904,-8.552379935,-6.560682671,Rural_Akatsi,17.172949,1192,-5,32.3,13.65,0.64,Loamy,5.42847223,0.124149155,1,cassava,0.6157470503,0.6157470503
14703,14703,376.7257,-0.3024556226,-4.344412343,Rural_Kilimani,15.336854,269.2,-7.6,32.5,12.45,0.56,Loamy,6.361335078,0.002626443038,1,wheat,0.6774199762,0.6774199762
16213,16213,776.9175,-9.376921797,-2.042554341,Rural_Sokoto,10.646531,1879.4,-2.5,29.2,13.35,0.67,Volcanic,4.168289396,0.134165112,4.6,tea,3.520066476,0.7652318425
41451,41451,610.9348,-1.262168282,-6.101211993,Rural_Kilimani,9.278497,353.7,-5.4,30.7,12.65,0.55,Loamy,5.98152616,0.1248128843,3.4,wheat,2.311196601,0.6797637062
18442,18442,567.1401,-5.619173639,-0.8533361162,Rural_Kilimani,2.6829624,1040.5,-5.2,28.9,11.85,0.58,Loamy,5.068413022,0.9140946696,11.1,wheat,4.105127125,0.3698312726
26458,26458,744.86566,-4.348568147,-0.4569300414,Rural_Kilimani,9.13863,1284.5,-3.4,28.1,12.35,0.62,Volcanic,4.403427497,0.743466972,4.1,tea,1.94950801,0.4754897585
35134,35134,826.1083,-2.915757699,-1.565065205,Rural_Kilimani,5.061548,1258.6,-2.6,26.9,12.15,0.6,Volcanic,4.510853471,0.3310938358,2.7,tea,1.632599342,0.6046664231
17163,17163,683.9345,-14.39626406,-6.146258138,Rural_Hawassa,17.144402,1638.1,-3.6,31.8,14.1,0.67,Volcanic,4.405833109,9.94E-09,0.9,cassava,0.31126023,0.3458447
38092,38092,736.43884,-3.528531978,-0.3488192937,Rural_Kilimani,2.530983,1334.6,-3.4,29.1,12.85,0.6,Volcanic,5.49203563,0.4771280908,7.4,coffee,2.979138366,0.4025862656
38365,38365,469.52298,-9.232739613,-5.511107495,Rural_Hawassa,9.228676,1297.6,-5.9,30.4,12.25,0.62,Silt,7.274776212,0.05528843257,4.2,wheat,2.113318838,0.5031711519
8409,8409,595.3719,-9.611217845,-2.538061934,Rural_Hawassa,2.0598238,1707.8,-4.3,30,12.85,0.63,Silt,6.142054421,0.07012445271,6.5,coffee,3.107423627,0.4780651734
41801,41801,737.3999,-2.636404718,-2.610135766,Rural_Kilimani,0.5008781,961.7,-3.6,30.8,13.6,0.57,Sandy,5.12549672,0.3435218752,12.3,potato,6.642585562,0.5400476067
23715,23715,631.03644,-5.749838743,-0.1551208708,Rural_Sokoto,4.558887,1206.5,-4.5,33.1,14.3,0.6,Peaty,4.283779089,0.9729916824,2.4,cassava,0.6673971819,0.2780821591
39738,39738,497.6068,-14.02229152,-6.736362636,Rural_Hawassa,7.9985347,1564.4,-5.5,31.8,13.15,0.63,Silt,6.946408342,1.97E-08,4.4,banana,1.725248669,0.3921019703
44373,44373,764.42444,-4.159329031,-1.294788336,Rural_Kilimani,16.099163,1175.5,-3.3,28.9,12.8,0.63,Sandy,4.555199566,0.7484946851,0.8,tea,0.2897404233,0.3621755292
16313,16313,718.968,-8.646999493,-0.006468592745,Rural_Sokoto,12.725033,1805.9,-3.2,29.6,13.2,0.67,Volcanic,4.510769856,0.1208330141,1.3,tea,1.090195483,0.8386119097
1570,1570,672.494,-7.182649191,-6.16878121,Rural_Hawassa,34.655468,819.1,-4.4,29.2,12.4,0.66,Sandy,5.204323625,0.3079906679,1.4,cassava,0.7174840861,0.5124886329
19224,19224,636.7583,-7.092535327,-2.740769586,Rural_Hawassa,5.922931,999.6,-4.6,32.7,14.05,0.59,Loamy,6.688992315,0.3404237408,2.9,wheat,1.893455123,0.6529155596
7613,7613,680.74854,-7.015938542,-0.1731393287,Rural_Sokoto,17.115238,1408.4,-3.8,30.1,13.15,0.65,Volcanic,4.142578632,0.691758687,1.2,cassava,0.3833729049,0.3194774207
38394,38394,378.82364,-12.50837859,-8.385051538,Rural_Akatsi,13.30753,1822.6,-6.1,29.3,11.6,0.67,Silt,5.617232128,0.02692828672,1.6,rice,0.9538516821,0.5961573013
18874,18874,686.1873,-8.489300229,1.227795777,Rural_Sokoto,7.4993587,1781,-3.4,30,13.3,0.65,Volcanic,4.744504821,0.05069293489,3.5,banana,1.808821519,0.5168061482
20544,20544,459.43204,-9.430990115,-5.799402822,Rural_Hawassa,13.164362,1370.1,-5.8,32.7,13.45,0.64,Silt,5.710719074,0.1029903425,1.8,cassava,0.9174566897,0.5096981609
646,646,758.08466,-10.11134979,-1.123612985,Rural_Sokoto,31.378008,2108.5,-2.5,29.1,13.3,0.75,Volcanic,4.997698253,0.1695498501,1.5,tea,1.134702875,0.7564685831
21775,21775,701.20154,-9.358899024,-0.6190961629,Rural_Sokoto,7.184972,1920.5,-3.2,31.6,14.2,0.66,Volcanic,4.341071838,0.1680045912,4.5,tea,3.646019649,0.8102265887
27620,27620,388.1572,-9.872548052,-6.912042601,Rural_Akatsi,5.3030796,1470.8,-6.4,33.8,13.7,0.62,Silt,7.156023858,0.07716563462,4.6,banana,1.471791407,0.3199546536
44208,44208,643.1573,-10.47631095,-1.321816023,Rural_Sokoto,22.550077,2042.5,-3.6,29.7,13.05,0.72,Volcanic,4.094322103,0.1651060809,0.5,tea,0.3761570963,0.7523141927
3189,3189,711.88837,-7.601678662,-4.024584715,Rural_Hawassa,1.7127155,1046.3,-3.9,31.4,13.75,0.58,Sandy,6.586034289,0.06915846158,5.2,maize,2.621405847,0.504116509
31578,31578,369.78412,-11.21975033,-8.722897624,Rural_Akatsi,24.896206,1849.9,-6,31.7,12.85,0.71,Silt,5.836137796,0.1661653446,1.4,rice,0.8114908834,0.5796363453
1388,1388,585.7511,-7.223200431,-2.078591257,Rural_Sokoto,4.52347,1085.7,-5,32.9,13.95,0.59,Loamy,6.367139338,0.5774107141,2.3,wheat,1.308704003,0.5690017403
18600,18600,463.17465,-12.62102093,-8.880559131,Rural_Akatsi,1.3305372,1903.4,-5.3,31,12.85,0.64,Silt,6.82844845,0.006509506124,14.6,wheat,7.466404314,0.5113975558
18577,18577,798.289,-1.122491791,-1.722726712,Rural_Kilimani,3.3962333,1351.4,-2.8,29.9,13.55,0.6,Volcanic,4.691339076,0.0323553671,12,tea,8.270307592,0.6891922994
40234,40234,598.0178,-1.987584892,-4.664239972,Rural_Kilimani,19.143837,441.6,-5.5,31.3,12.9,0.58,Loamy,5.340806298,0.08249208723,0.9,wheat,0.5558922417,0.6176580463
3861,3861,628.43207,-9.872548052,-5.213802939,Rural_Hawassa,16.149405,1678.8,-4.1,30.3,13.1,0.67,Silt,6.565928068,0.07271500395,1.1,wheat,0.619040649,0.5627642263
10708,10708,491.91196,-1.090951939,-3.866923208,Rural_Kilimani,19.73039,491.8,-6.4,31.8,12.7,0.59,Loamy,6.406293574,0.02214801905,0.9,maize,0.5952166854,0.6613518726
25434,25434,769.1642,-8.218958635,-0.3578285227,Rural_Sokoto,19.388521,1737.8,-2.7,31.1,14.2,0.68,Volcanic,4.933294486,0.1788288653,0.8,tea,0.638050973,0.7975637162
4336,4336,339.7252,-6.335578863,-1.668671338,Rural_Hawassa,21.680336,733.9,-7.5,32.6,12.55,0.61,Loamy,5.920826527,0.8282040293,1.1,wheat,0.522274198,0.4747947255
41928,41928,796.3508,-7.867514563,-1.141631443,Rural_Sokoto,4.876115,1598.2,-2.6,29.7,13.55,0.63,Volcanic,5.274719324,0.3497224732,2.6,coffee,1.101367884,0.4236030323
1644,1644,795.21094,-4.231420123,-5.740842834,Rural_Kilimani,10.080604,528.9,-3.6,28.9,12.65,0.56,Sandy,6.141882524,0.2583351017,4.4,wheat,2.530767854,0.5751745122
44390,44390,597.09717,-9.282302239,-7.776928582,Rural_Akatsi,8.757406,1570.2,-4.4,31.1,13.35,0.64,Silt,7.193913019,0.09983546285,4.5,banana,1.724376498,0.3831947773
36556,36556,459.17047,-11.02600552,-8.695869937,Rural_Akatsi,3.5356965,1895.7,-5.4,32.6,13.6,0.65,Silt,5.646501377,0.1355830104,9.1,coffee,4.653875236,0.5114148611
21026,21026,689.879,-8.047742292,-7.011144119,Rural_Akatsi,12.036003,1192.9,-3.8,28.3,12.25,0.62,Sandy,6.181975145,0.118607892,1.5,wheat,0.77984449,0.5198963267
20779,20779,680.05005,-9.8410082,-0.7181976816,Rural_Sokoto,1.9294587,1998.1,-3.3,32.3,14.5,0.65,Volcanic,5.391902022,0.2344166701,6.7,tea,5.431288839,0.8106401252
42558,42558,770.18756,-5.641702105,-4.659735357,Rural_Kilimani,7.614794,618.7,-3.7,26.5,11.4,0.56,Sandy,6.116174023,0.2565610161,3.2,potato,1.851833167,0.5786978647
6660,6660,768.82184,-3.843930505,-0.9794653218,Rural_Kilimani,5.0275955,1254.4,-3.2,31.1,13.95,0.6,Volcanic,4.399981414,0.6657333484,3.7,tea,1.77319646,0.4792422866
14398,14398,746.7498,-3.641174309,-0.5650407891,Rural_Kilimani,2.553003,1309.6,-3.3,31.5,14.1,0.6,Volcanic,5.565455584,0.5488872753,11.2,tea,6.150725736,0.5491719407
7330,7330,530.631,-1.253156895,-3.916473967,Rural_Kilimani,15.18068,518.1,-6,29.7,11.85,0.58,Loamy,4.950463812,0.029874322,0.9,wheat,0.5374269266,0.5971410295
40376,40376,904.1912,-7.727838073,-6.317433488,Rural_Akatsi,42.477123,1209.9,-2.2,27.3,12.55,0.72,Volcanic,3.752137538,0.3463085277,1,tea,0.4400581407,0.4400581407
4855,4855,790.7851,-7.588161583,-0.5425177166,Rural_Sokoto,33.711464,1598.5,-2.7,29.7,13.5,0.72,Volcanic,4.188630971,0.4203165496,1.1,tea,0.6730884792,0.6118986175
44016,44016,668.8469,-5.844458301,-2.488511175,Rural_Hawassa,14.157809,863.8,-4.4,29.3,12.45,0.6,Sandy,5.296059627,0.511416649,1.8,potato,0.9460280065,0.5255711147
29028,29028,623.66113,-14.88738462,-6.173285825,Rural_Hawassa,4.1246443,1380.9,-4.4,32.2,13.9,0.61,Peaty,4.377066253,1.01E-09,2.2,cassava,0.7927114048,0.3603233658
21155,21155,737.1681,-7.831469017,-3.263304866,Rural_Hawassa,18.709253,1229.4,-3.5,28.6,12.55,0.64,Volcanic,4.122904573,0.0835924851,1.7,cassava,0.6982722922,0.4107484072
9447,9447,525.3842,0.2607560317,-3.565114037,Rural_Kilimani,36.889824,582.3,-6,31.5,12.75,0.65,Loamy,6.475410103,0.0006847646249,1.1,maize,0.7545722241,0.6859747492
11570,11570,602.4487,-5.758850129,-8.231894645,Rural_Amanzi,14.06344,665.4,-5.2,29.4,12.1,0.59,Loamy,5.574501174,0.2016477774,1.5,potato,1.015961595,0.67730773
5688,5688,773.7714,-4.136800565,-1.511009831,Rural_Kilimani,17.475237,1144.2,-3.2,29.8,13.3,0.63,Sandy,5.642853513,0.7006261198,1.7,cassava,0.8935492674,0.5256172161
34826,34826,796.44446,-7.439473706,-6.231845813,Rural_Hawassa,23.486315,1030.1,-3.1,29.4,13.15,0.64,Sandy,4.900343746,0.3443972228,1.5,tea,0.7400413597,0.4933609064
42965,42965,874.5884,-7.178143498,-7.754405509,Rural_Akatsi,20.04028,1182.4,-2.3,29.8,13.75,0.64,Sandy,4.86540672,0.1062606322,1.8,tea,0.9303762261,0.5168756812
22091,22091,489.95352,-1.532509876,-5.20479371,Rural_Kilimani,23.698463,275.9,-6.6,31.5,12.45,0.59,Loamy,6.238623042,0.09862225843,1.4,wheat,0.9513044815,0.6795032011
34551,34551,362.7507,-11.47657484,-7.988645463,Rural_Akatsi,3.3069782,1808.2,-6.4,33.2,13.4,0.64,Silt,5.622110035,0.2596196786,6.2,rice,3.462968106,0.5585432429
29643,29643,393.69748,-12.62102093,-8.299463862,Rural_Akatsi,4.2143826,1814,-6.1,33.6,13.75,0.64,Silt,6.258796209,0.0158531296,3.2,coffee,1.75942662,0.5498208188
27036,27036,317.19836,-9.859030973,-3.506554049,Rural_Hawassa,10.596356,1412.3,-7.1,33.1,13,0.63,Silt,6.375242234,0.01985141301,3.1,wheat,1.667835777,0.538011541
9738,9738,577.583,-6.515806593,-0.4479208124,Rural_Sokoto,8.397207,1193.6,-5,32.6,13.8,0.61,Loamy,5.850045971,0.8894905342,4.9,cassava,2.661530438,0.5431694771
19849,19849,676.0542,-8.701067811,-5.20479371,Rural_Hawassa,24.231682,1323.2,-4,31,13.5,0.67,Volcanic,5.018165309,0.2374344384,1.4,cassava,0.5934159397,0.4238685283
24873,24873,483.94836,-0.1447563594,-3.227267951,Rural_Kilimani,3.5856297,645.4,-6.3,31.5,12.6,0.55,Loamy,5.597030252,0.002768530427,14.8,maize,9.258423319,0.6255691432
